case_id,method,method_key,Precision,Recall,F1,AUC_PR,NDCG15,NDCG25,matching_policy,legacy_semantic_matches,source_findings_relative_path
Mixed_medium_04,GAT,GAT,0.7428571428571429,0.8666666666666667,0.8,0.780816142836064,0.7487782351728642,0.8661321026137649,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_04/GAT_Analysis/findings.json
Mixed_medium_04,CDHC,CDHC,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.6024331747766124,0.796771593057289,0.850617162997872,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_04/CDHC_Analysis/findings.json
Mixed_medium_04,IF-PDAG,IF-PDAG,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.7688236148617792,0.7548436981232085,0.8036583796963807,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_04/IF-PDAG_Analysis/findings.json
Mixed_medium_04,VGAE,VGAE,0.6857142857142857,0.8,0.7384615384615385,0.8,0.889929203493537,0.889929203493537,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_04/VGAE_Analysis/findings.json
Mixed_medium_04,GATE,GATE,0.8,0.9333333333333333,0.8615384615384616,0.8681868325543172,0.704734707769173,0.7904259016936939,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_04/GATE_Analysis/findings.json
Mixed_medium_04,DistMult,DistMult,0.7714285714285715,0.9,0.8307692307692307,0.7109346630512414,0.6910137595054358,0.7350458139445376,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_04/DistMult_Analysis/findings.json
Mixed_medium_04,NOTEARS,NOTEARS,0.8,0.9333333333333333,0.8615384615384616,0.7716460465095988,0.6147800264546884,0.7660203867295983,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_04/NOTEARS_Analysis/findings.json
Mixed_medium_04,GES,GES,0.8571428571428571,1.0,0.923076923076923,0.9938847543042413,0.6531562528086529,0.8303372712237281,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_04/GES_Analysis/findings.json
Mixed_medium_04,GOLEM,GOLEM,0.8571428571428571,1.0,0.923076923076923,0.9484895705047741,0.7345260180050136,0.8498231601244257,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_04/GOLEM_Analysis/findings.json
Mixed_medium_04,PC-VGAE,PCVGAE,0.9583333333333334,0.7666666666666667,0.8518518518518519,0.760789789160753,0.6859623113666007,0.8405915895147512,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_04/PCVGAE_Analysis/1_Final_Results/pc_pcvgae_audit/final_aggregated_uncertainty_map.json
Mixed_medium_04,PC-GATE,PCGATE,1,0.9666666666666667,0.983050847457627,0.9666666666666667,0.701983705979366,0.8489420257905462,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_04/PCGATE_Analysis/1_Final_Results/pc_pcgate_audit/final_aggregated_uncertainty_map.json
Mixed_medium_05,CommonNeighbors,CommonNeighbors,0.6285714285714286,0.8148148148148148,0.7096774193548386,0.6667236090624744,0.7081010218558423,0.8416466442121688,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_05/CommonNeighbors_Analysis/findings.json
Mixed_medium_05,Peter-Clark,Peter-Clark,0.7142857142857143,0.9259259259259259,0.8064516129032259,0.9056981136633534,0.6367831193476964,0.8751005168194202,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_05/Peter-Clark_Analysis/findings.json
Mixed_medium_05,GAT,GAT,0.7142857142857143,0.9259259259259259,0.8064516129032259,0.572272671140109,0.47719636494664813,0.5710154895415315,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_05/GAT_Analysis/findings.json
Mixed_medium_05,CDHC,CDHC,0.42857142857142855,0.5555555555555556,0.48387096774193544,0.254734507424326,0.7252497828343498,0.7827538039210798,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_05/CDHC_Analysis/findings.json
Mixed_medium_05,IF-PDAG,IF-PDAG,0.6,0.7777777777777778,0.6774193548387097,0.6267369264311416,0.443504574553104,0.49987142751405333,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_05/IF-PDAG_Analysis/findings.json
Mixed_medium_05,VGAE,VGAE,0.4,0.5185185185185185,0.45161290322580644,0.5044573800106713,0.8417771098923534,0.9143449410629736,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_05/VGAE_Analysis/findings.json
Mixed_medium_05,GATE,GATE,0.7428571428571429,0.9629629629629629,0.8387096774193549,0.945785545527857,0.7503359712972107,0.8528360680103031,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_05/GATE_Analysis/findings.json
Mixed_medium_05,DistMult,DistMult,0.6285714285714286,0.8148148148148148,0.7096774193548386,0.4649300186833664,0.33405144466421555,0.6288067150644113,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_05/DistMult_Analysis/findings.json
Mixed_medium_05,NOTEARS,NOTEARS,0.7142857142857143,0.9259259259259259,0.8064516129032259,0.8561268371499218,0.5923263977762816,0.7109739348583868,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_05/NOTEARS_Analysis/findings.json
Mixed_medium_05,GES,GES,0.7428571428571429,0.9629629629629629,0.8387096774193549,0.9279428181068634,0.5474697172690426,0.7198321386495842,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_05/GES_Analysis/findings.json
Mixed_medium_05,GOLEM,GOLEM,0.7142857142857143,0.9259259259259259,0.8064516129032259,0.8453851916135008,0.7181662891100666,0.7996525951349266,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_05/GOLEM_Analysis/findings.json
Mixed_medium_05,PC-VGAE,PCVGAE,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9626091109932907,0.6998310535351023,0.8845914321435993,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_05/PCVGAE_Analysis/1_Final_Results/pc_pcvgae_audit/final_aggregated_uncertainty_map.json
Mixed_medium_05,PC-GATE,PCGATE,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9425942190463247,0.6998310535351023,0.8343493649798422,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_05/PCGATE_Analysis/1_Final_Results/pc_pcgate_audit/final_aggregated_uncertainty_map.json
Mixed_medium_06,CommonNeighbors,CommonNeighbors,0.6857142857142857,0.9230769230769231,0.7868852459016394,0.8124462764186132,0.6559393429241562,0.8218252258958746,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_06/CommonNeighbors_Analysis/findings.json
Mixed_medium_06,Peter-Clark,Peter-Clark,0.6285714285714286,0.8461538461538461,0.721311475409836,0.7383318434711816,0.5993191415914497,0.7776245939906118,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_06/Peter-Clark_Analysis/findings.json
Mixed_medium_06,GAT,GAT,0.6857142857142857,0.9230769230769231,0.7868852459016394,0.6600729932314424,0.7044702403382896,0.7993165605181348,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_06/GAT_Analysis/findings.json
Mixed_medium_06,CDHC,CDHC,0.2857142857142857,0.38461538461538464,0.32786885245901637,0.27030064102564105,0.7945570282173817,0.7945570282173817,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_06/CDHC_Analysis/findings.json
Mixed_medium_06,IF-PDAG,IF-PDAG,0.5714285714285714,0.7692307692307693,0.6557377049180327,0.7425930521091811,0.7725665714262702,0.7725665714262702,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_06/IF-PDAG_Analysis/findings.json
Mixed_medium_06,VGAE,VGAE,0.42857142857142855,0.5769230769230769,0.4918032786885245,0.36501486730221877,0.6819322969458985,0.6819322969458985,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_06/VGAE_Analysis/findings.json
Mixed_medium_06,GATE,GATE,0.7428571428571429,1.0,0.8524590163934427,0.9849684297971775,0.7911377480069873,0.8420621876242123,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_06/GATE_Analysis/findings.json
Mixed_medium_06,DistMult,DistMult,0.5142857142857142,0.6923076923076923,0.5901639344262295,0.5233413659850769,0.684739484525633,0.7894072781831619,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_06/DistMult_Analysis/findings.json
Mixed_medium_06,NOTEARS,NOTEARS,0.7428571428571429,1.0,0.8524590163934427,0.5861186748854604,0.6003977339352083,0.818748672531505,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_06/NOTEARS_Analysis/findings.json
Mixed_medium_06,GES,GES,0.6285714285714286,0.8461538461538461,0.721311475409836,0.768786296497035,0.663966577056679,0.663966577056679,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_06/GES_Analysis/findings.json
Mixed_medium_06,GOLEM,GOLEM,0.7428571428571429,1.0,0.8524590163934427,0.7780106967615137,0.6739297857301931,0.8469911555887504,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_06/GOLEM_Analysis/findings.json
